0.32,4.032,NaN,0.093239,0.4948,0.51589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33,3.9411,NaN,0.096888,0.49467,0.5149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.34,3.8564,NaN,0.10055,0.49455,0.51399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.35,3.7772,NaN,0.10422,0.49445,0.51316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.36,3.7046,201.98,0.1079,0.49435,0.51241,0.68215,1.083,4.7529e-4,0,0,0,0,0
0.375,3.6305,202.15,0.11345,0.49424,0.51163,0.66643,1.0689,1.1159e-4,0,0,0,0,8.5706e-6
0.3975,3.5264,202.4,0.12182,0.4941,0.51059,0.64449,1.049,-1.0144e-4,0,0,0,0,5.297e-5
0.43125,3.3642,202.8,0.13446,0.49398,0.5091,0.61063,1.0173,-1.8684e-4,0,0,0,0,1.8945e-4
0.48125,3.0904,203.48,0.15339,0.49399,0.5069,0.55441,0.95782,2.8283e-4,0,0,0,0,5.4505e-4
0.53125,2.6607,204.57,0.17248,0.49417,0.50393,0.46843,0.85252,1.7284e-4,0,0,0,0,0.0010652
0.58125,2.3425,205.41,0.19189,0.49453,0.5022,0.40669,0.77148,-3.0159e-4,0,0,0,0,0.0016879
0.63125,1.8924,206.64,0.21146,0.49504,0.50015,0.32194,0.64324,-1.5635e-5,0,0,0,0,0.0024037
0.68125,1.5768,207.55,0.23138,0.4957,0.4993,0.26446,0.54969,2.4502e-4,0,0,0,0,0.0030534
0.73125,1.3514,208.24,0.25164,0.49652,0.49919,0.22439,0.48068,-1.9318e-4,0,0,0,0,0.003723
0.78125,1.0828,209.06,0.27211,0.49748,0.49922,0.17762,0.3924,4.4655e-4,0,0,0,0,0.004331
0.83125,0.74099,210.14,0.29277,0.49859,0.49942,0.11965,0.27434,-2.3235e-4,0,0,0,0,0.0047624
0.88125,0.37549,211.33,0.31363,0.49984,0.50006,0.059599,0.14007,-4.1269e-4,0,0,0,0,0.0048405
