time[s],Xcg[m],Xcp[m]
0.352,1.9492,NaN
0.353,1.9492,NaN
0.354,1.9492,NaN
0.355,1.9491,NaN
0.356,1.9491,NaN
0.357,1.9491,NaN
0.358,1.949,NaN
0.359,1.949,NaN
0.36,1.949,2.0198
0.361,1.949,2.0199
0.362,1.9489,2.02
0.363,1.9489,2.0201
0.364,1.9489,2.0203
0.365,1.9488,2.0204
0.366,1.9488,2.0205
0.367,1.9488,2.0206
0.368,1.9487,2.0207
0.369,1.9487,2.0208
0.37,1.9487,2.0209
0.371,1.9486,2.021
0.372,1.9486,2.0212
0.373,1.9486,2.0213
0.374,1.9485,2.0214
0.375,1.9485,2.0215
0.376,1.9485,2.0216
0.377,1.9484,2.0217
0.378,1.9484,2.0218
0.379,1.9484,2.0219
0.38,1.9483,2.0221
0.381,1.9483,2.0222
0.382,1.9483,2.0223
0.383,1.9482,2.0224
0.384,1.9482,2.0225
0.385,1.9482,2.0226
0.386,1.9481,2.0227
0.387,1.9481,2.0228
0.388,1.9481,2.0229
0.389,1.948,2.0231
0.39,1.948,2.0232
0.391,1.948,2.0233
0.392,1.9479,2.0234
0.393,1.9479,2.0235
0.394,1.9479,2.0236
0.395,1.9478,2.0237
0.396,1.9478,2.0238
0.397,1.9478,2.0239
0.398,1.9477,2.0241
0.399,1.9477,2.0242
0.4,1.9477,2.0243
0.401,1.9476,2.0244
0.402,1.9476,2.0245
0.403,1.9476,2.0247
0.404,1.9475,2.0248
0.405,1.9475,2.0249
0.406,1.9475,2.025
0.407,1.9474,2.0251
0.408,1.9474,2.0252
0.409,1.9474,2.0254
0.41,1.9473,2.0255
0.411,1.9473,2.0256
0.412,1.9473,2.0257
0.413,1.9472,2.0258
0.414,1.9472,2.026
0.415,1.9472,2.0261
0.416,1.9471,2.0262
0.417,1.9471,2.0263
0.418,1.9471,2.0264
0.419,1.947,2.0265
0.42,1.947,2.0267
0.421,1.947,2.0268
0.422,1.9469,2.0269
0.423,1.9469,2.027
0.424,1.9469,2.0271
0.425,1.9468,2.0273
0.426,1.9468,2.0274
0.427,1.9468,2.0275
0.428,1.9467,2.0276
0.429,1.9467,2.0277
0.43,1.9467,2.0279
0.431,1.9466,2.028
0.432,1.9466,2.0281
0.433,1.9466,2.0282
0.434,1.9465,2.0284
0.435,1.9465,2.0285
0.436,1.9465,2.0286
0.437,1.9464,2.0288
0.438,1.9464,2.0289
0.439,1.9464,2.0291
0.44,1.9463,2.0292
0.441,1.9463,2.0293
0.442,1.9463,2.0295
0.443,1.9462,2.0296
0.444,1.9462,2.0297
0.445,1.9462,2.0299
0.446,1.9461,2.03
0.447,1.9461,2.0301
0.448,1.9461,2.0303
0.449,1.946,2.0304
0.45,1.946,2.0305
0.451,1.946,2.0307
0.452,1.9459,2.0308
0.453,1.9459,2.031
0.454,1.9459,2.0311
0.455,1.9458,2.0312
0.456,1.9458,2.0314
0.457,1.9458,2.0315
0.458,1.9457,2.0316
0.459,1.9457,2.0318
0.46,1.9457,2.0319
0.461,1.9456,2.032
0.462,1.9456,2.0322
0.463,1.9456,2.0323
0.464,1.9455,2.0325
0.465,1.9455,2.0326
0.466,1.9455,2.0327
0.467,1.9454,2.0329
0.468,1.9454,2.033
0.469,1.9454,2.0331
0.47,1.9453,2.0333
0.471,1.9453,2.0334
0.472,1.9453,2.0335
0.473,1.9452,2.0337
0.474,1.9452,2.0338
0.475,1.9452,2.0339
0.476,1.9451,2.0341
0.477,1.9451,2.0342
0.478,1.9451,2.0344
0.479,1.945,2.0345
0.48,1.945,2.0346
0.481,1.945,2.0348
0.482,1.9449,2.035
0.483,1.9449,2.0352
0.484,1.9449,2.0354
0.485,1.9448,2.0356
0.486,1.9448,2.0358
0.487,1.9448,2.0361
0.488,1.9447,2.0363
0.489,1.9447,2.0365
0.49,1.9447,2.0367
0.491,1.9446,2.0369
0.492,1.9446,2.0371
0.493,1.9446,2.0374
0.494,1.9445,2.0376
0.495,1.9445,2.0378
0.496,1.9445,2.038
0.497,1.9444,2.0382
0.498,1.9444,2.0385
0.499,1.9444,2.0387
0.5,1.9443,2.0389
0.501,1.9443,2.0391
0.502,1.9443,2.0393
0.503,1.9442,2.0395
0.504,1.9442,2.0398
0.505,1.9442,2.04
0.506,1.9441,2.0402
0.507,1.9441,2.0404
0.508,1.9441,2.0406
0.509,1.944,2.0408
0.51,1.944,2.0411
0.511,1.944,2.0413
0.512,1.9439,2.0415
0.513,1.9439,2.0417
0.514,1.9439,2.0419
0.515,1.9438,2.0422
0.516,1.9438,2.0424
0.517,1.9438,2.0426
0.518,1.9437,2.0428
0.519,1.9437,2.043
0.52,1.9437,2.0432
0.521,1.9436,2.0435
0.522,1.9436,2.0437
0.523,1.9436,2.0439
0.524,1.9435,2.0441
0.525,1.9435,2.0443
0.526,1.9435,2.0446
0.527,1.9434,2.0448
0.528,1.9434,2.045
0.529,1.9434,2.0452
0.53,1.9433,2.0454
0.531,1.9433,2.0456
0.532,1.9433,2.0458
0.533,1.9432,2.046
0.534,1.9432,2.0462
0.535,1.9432,2.0463
0.536,1.9431,2.0465
0.537,1.9431,2.0467
0.538,1.9431,2.0468
0.539,1.943,2.047
0.54,1.943,2.0472
0.541,1.943,2.0473
0.542,1.9429,2.0475
0.543,1.9429,2.0477
0.544,1.9429,2.0478
0.545,1.9428,2.048
0.546,1.9428,2.0482
0.547,1.9428,2.0483
0.548,1.9427,2.0485
0.549,1.9427,2.0487
0.55,1.9427,2.0488
0.551,1.9426,2.049
0.552,1.9426,2.0492
0.553,1.9426,2.0494
0.554,1.9425,2.0495
0.555,1.9425,2.0497
0.556,1.9425,2.0499
0.557,1.9424,2.05
0.558,1.9424,2.0502
0.559,1.9424,2.0504
0.56,1.9423,2.0505
0.561,1.9423,2.0507
0.562,1.9423,2.0509
0.563,1.9422,2.051
0.564,1.9422,2.0512
0.565,1.9422,2.0514
0.566,1.9421,2.0515
0.567,1.9421,2.0517
0.568,1.9421,2.0519
0.569,1.942,2.052
0.57,1.942,2.0522
0.571,1.942,2.0524
0.572,1.9419,2.0525
0.573,1.9419,2.0527
