Run ID,At [m^2],Dfg_Outer [m],Dfg_Inner [m],Lfg [m],ISP [s^-1],Delta-V [m/s],Apogee [m],O/F Ratio Max
937,0.0015,0.139,0.04,0.5,243.02,324.08,6147.9,3.3437
945,0.0015,0.139,0.045,0.5,243.15,317.42,5899.3,3.3873
953,0.0015,0.139,0.05,0.5,243.28,309.76,5619.8,3.4268
961,0.0015,0.139,0.055,0.5,243.4,300.98,5307.4,3.4629
969,0.0015,0.139,0.06,0.5,243.51,291.16,4968.5,3.4962
977,0.0015,0.139,0.065,0.5,243.61,280.3,4607,3.5271
985,0.0015,0.139,0.07,0.5,243.7,268.37,4224.9,3.556
993,0.0015,0.139,0.075,0.5,243.79,255.37,3827.4,3.583
1001,0.0015,0.139,0.08,0.5,243.86,241.32,3419.6,3.6086
1002,0.0015,0.139,0.08,0.6,237.23,245.15,3522.1,3.0071
1009,0.0015,0.141,0.04,0.5,243.05,335.24,6576.3,3.3437
1017,0.0015,0.141,0.045,0.5,243.18,328.55,6318.2,3.3873
1025,0.0015,0.141,0.05,0.5,243.3,320.86,6027.7,3.4268
1033,0.0015,0.141,0.055,0.5,243.42,312.11,5705.5,3.4629
1041,0.0015,0.141,0.06,0.5,243.53,302.25,5352.6,3.4962
1049,0.0015,0.141,0.065,0.5,243.62,291.36,4975.8,3.5271
1057,0.0015,0.141,0.07,0.5,243.72,279.45,4579.3,3.556
1065,0.0015,0.141,0.075,0.5,243.8,266.46,4165.7,3.583
1073,0.0015,0.141,0.08,0.5,243.88,252.36,3738.4,3.6086
1074,0.0015,0.141,0.08,0.6,237.26,256.33,3849.2,3.0071
1081,0.0015,0.143,0.04,0.5,243.07,346.57,7026,3.3437
1089,0.0015,0.143,0.045,0.5,243.2,339.85,6758.1,3.3873
1097,0.0015,0.143,0.05,0.5,243.32,332.13,6456.5,3.4268
1105,0.0015,0.143,0.055,0.5,243.44,323.42,6124.3,3.4629
1113,0.0015,0.143,0.06,0.5,243.54,313.59,5759.7,3.4962
1121,0.0015,0.143,0.065,0.5,243.64,302.65,5367.2,3.5271
1129,0.0015,0.143,0.07,0.5,243.73,290.7,4953.6,3.556
1137,0.0015,0.143,0.075,0.5,243.81,277.66,4521.6,3.583
1145,0.0015,0.143,0.08,0.5,243.89,263.57,4076.4,3.6086
1146,0.0015,0.143,0.08,0.6,237.3,267.67,4196,3.0071
1153,0.0015,0.145,0.04,0.5,243.1,358.08,7497.7,3.3472
1161,0.0015,0.145,0.045,0.5,243.22,351.4,7222.7,3.3873
1169,0.0015,0.145,0.05,0.5,243.34,343.72,6912.5,3.4268
1177,0.0015,0.145,0.055,0.5,243.46,334.91,6564.5,3.4629
1185,0.0015,0.145,0.06,0.5,243.56,325.1,6188.2,3.4962
1193,0.0015,0.145,0.065,0.5,243.66,314.19,5782.1,3.5271
1201,0.0015,0.145,0.07,0.5,243.75,302.18,5351,3.556
1209,0.0015,0.145,0.075,0.5,243.83,289.17,4902.3,3.583
1217,0.0015,0.145,0.08,0.5,243.9,275.02,4436.6,3.6086
1218,0.0015,0.145,0.08,0.6,237.33,279.26,4565.4,3.0071
1225,0.0015,0.147,0.04,0.5,243.12,369.83,7995.2,3.3516
1233,0.0015,0.147,0.045,0.5,243.25,363.2,7713.1,3.3873
1241,0.0015,0.147,0.05,0.5,243.36,355.42,7388.2,3.4268
1249,0.0015,0.147,0.055,0.5,243.48,346.63,7029.8,3.4629
1257,0.0015,0.147,0.06,0.5,243.58,336.79,6638.7,3.4962
1265,0.0015,0.147,0.065,0.5,243.67,325.91,6219,3.5271
1273,0.0015,0.147,0.07,0.5,243.76,313.92,5772.5,3.556
1281,0.0015,0.147,0.075,0.5,243.84,300.85,5304.4,3.583
1289,0.0015,0.147,0.08,0.5,243.92,286.71,4820,3.6086
1290,0.0015,0.147,0.08,0.6,237.37,291.09,4958.6,3.0071
1297,0.0015,0.149,0.04,0.5,243.15,381.84,8519.6,3.356
1305,0.0015,0.149,0.045,0.5,243.27,375.18,8227.2,3.3873
1313,0.0015,0.149,0.05,0.5,243.39,367.43,7893.3,3.4268
1321,0.0015,0.149,0.055,0.5,243.49,358.61,7521.3,3.4629
1329,0.0015,0.149,0.06,0.5,243.6,348.8,7117.9,3.4962
1337,0.0015,0.149,0.065,0.5,243.69,337.8,6678.6,3.5271
1345,0.0015,0.149,0.07,0.5,243.78,325.83,6216.5,3.556
1353,0.0015,0.149,0.075,0.5,243.86,312.7,5728.5,3.583
1361,0.0015,0.149,0.08,0.5,243.93,298.51,5222.9,3.6086
1362,0.0015,0.149,0.08,0.6,237.4,303.09,5374.1,3.0071
1369,0.0015,0.151,0.04,0.5,243.17,394.03,9068.8,3.3603
1377,0.0015,0.151,0.045,0.5,243.29,387.34,8765.9,3.3873
1385,0.0015,0.151,0.05,0.5,243.41,379.63,8422.9,3.4268
1393,0.0015,0.151,0.055,0.5,243.51,370.84,8040.1,3.4629
1401,0.0015,0.151,0.06,0.5,243.61,360.92,7618.2,3.4962
1409,0.0015,0.151,0.065,0.5,243.7,350.01,7167.5,3.5271
1417,0.0015,0.151,0.07,0.5,243.79,337.92,6683.9,3.556
1425,0.0015,0.151,0.075,0.5,243.87,324.81,6178.3,3.583
1433,0.0015,0.151,0.08,0.5,243.94,310.62,5653.3,3.6086
1434,0.0015,0.151,0.08,0.6,237.43,315.34,5815.2,3.0071
1441,0.0015,0.153,0.04,0.5,243.19,406.47,9647.1,3.3646
1449,0.0015,0.153,0.045,0.5,243.31,399.76,9333.3,3.3873
1457,0.0015,0.153,0.05,0.5,243.42,392.01,8977.9,3.4268
1465,0.0015,0.153,0.055,0.5,243.53,383.26,8584.1,3.4629
1473,0.0015,0.153,0.06,0.5,243.63,373.36,8149.4,3.4962
1481,0.0015,0.153,0.065,0.5,243.72,362.33,7678.2,3.5271
1489,0.0015,0.153,0.07,0.5,243.8,350.26,7178.3,3.556
1497,0.0015,0.153,0.075,0.5,243.88,337.16,6654.6,3.583
